bodyId,type,instance,somaSide
184703,T5a,T5a_L,L
184751,T4d,T4d_L,L
184765,T5b,T5b_R,R
184768,T5a,T5a_L,L
184861,T4d,T4d_L,L
184908,T5d,T5d_L,L
185021,T5c,T5c_L,L
185022,T5b,T5b_L,L
185077,T4d,T4d_L,L
185124,T4d,T4d_L,L
185275,T5c,T5c_L,L
185350,T4d,T4d_L,L
185505,T5d,T5d_L,L
185532,T5c,T5c_L,L
185580,T5b,T5b_R,R
185678,T4c,T4c_L,L
185696,T5a,T5a_L,L
185877,T5d,T5d_L,L
185946,T4c,T4c_L,L
185980,T5b,T5b_R,R
185995,T4d,T4d_L,L
186025,T5b,T5b_L,L
186215,T4b,T4b_L,L
186250,T4d,T4d_L,L
186281,T5a,T5a_L,L
186373,T5d,T5d_L,L
186407,T5d,T5d_L,L
186551,T5c,T5c_L,L
186623,T5a,T5a_L,L
186732,T5d,T5d_L,L
186810,T5b,T5b_L,L
186839,T4b,T4b_R,R
186862,T5d,T5d_L,L
186958,T4c,T4c_L,L
186976,T5c,T5c_L,L
187049,T4b,T4b_L,L
187065,T5b,T5b_L,L
187068,T5a,T5a_L,L
187137,T5d,T5d_L,L
187147,T4d,T4d_L,L
187151,T5d,T5d_R,R
187155,T5d,T5d_L,L
187287,T5d,T5d_L,L
187352,T5a,T5a_L,L
187488,T5a,T5a_L,L
187522,T5c,T5c_L,L
187527,T5d,T5d_L,L
187704,T5c,T5c_L,L
187755,T5b,T5b_L,L
187759,T4b,T4b_L,L
187764,T5b,T5b_L,L
187774,T5c,T5c_L,L
187800,T5b,T5b_L,L
187932,T5d,T5d_L,L
187959,T4d,T4d_L,L
187964,T4d,T4d_L,L
187982,T5d,T5d_L,L
188041,T5d,T5d_L,L
188071,T5c,T5c_L,L
188086,T5d,T5d_L,L
188128,T5d,T5d_L,L
188136,T5c,T5c_L,L
188153,T4d,T4d_L,L
188318,T5a,T5a_L,L
188398,T5d,T5d_R,R
188411,T5c,T5c_L,L
188480,T5a,T5a_L,L
188547,T4c,T4c_L,L
188561,T5d,T5d_L,L
188572,T5c,T5c_L,L
188650,T5c,T5c_L,L
188727,T4d,T4d_L,L
188848,T5c,T5c_L,L
188883,T4b,T4b_L,L
